,MODELS,VERSION,BRANDS,Fuel,MODEL_YEAR,RTO,Transmission,OWNER,KM_DRIVEN,Location,EMI,FINAL_PRICE,ACTUAL_PRICE,Discount_Amount,CAR_AGE
761,i10,SPORTZ 1.2 KAPPA VTVT,Hyundai,Petrol,2017,MP-04,Manual,1,32367,Mori,8055,412000,502000,90000,6
762,i10,ASTA 1.2 KAPPA VTVT,Hyundai,Petrol,2015,MP-04,Manual,1,88905,Mori,7761,397000,486000,89000,8
763,VENUE,SX 1.0 TURBO,Hyundai,Petrol,2019,MP-04,Manual,1,29243,Mori,16617,873000,899000,26000,4
764,Eon,ERA +,Hyundai,CNG,2019,MP-07,Manual,1,84957,Mori,5982,306000,344000,38000,4
765,Eon,ERA +,Hyundai,Petrol,2016,MP-04,Manual,1,53055,Mori,4956,253500,324000,70500,7
766,i10,MAGNA 1.2,Hyundai,Petrol,2011,MP-20,Manual,1,54404,Mori,4712,241000,280000,39000,12
767,Verna,1.6 CRDI SX,Hyundai,Diesel,2017,MP-04,Manual,1,89885,Mori,15582,797000,863000,66000,6
768,i20,SPORTZ 1.2,Hyundai,Petrol,2017,MP-04,Manual,1,48393,Mori,10049,514000,614000,100000,6
769,Xing,GL PLUS,Hyundai,Petrol,2013,MP-04,Manual,2,59109,Mori,4145,212000,248000,36000,10
770,i20,SPORTZ 1.2,Hyundai,Petrol,2018,MP-09,Manual,1,68944,Mori,10498,537000,593000,56000,5
771,City,1.5L I-VTEC S MT,Honda,Petrol,2014,MP-20,Manual,1,101754,Mori,8367,428000,477000,49000,9
772,City,1.5L I-VTEC V MT,Honda,Petrol,2018,MP-09,Manual,1,20263,Mori,14017,717000,817000,100000,5
773,City,1.5L I-VTEC V MT,Honda,Petrol,2015,MP-09,Manual,1,46836,Mori,10753,550000,674000,124000,8
774,City,1.5L I-VTEC S MT,Honda,Petrol,2018,MP-09,Manual,1,64824,Mori,12043,616000,674000,58000,5
775,Brio,S MT,Honda,Petrol,2015,MP-09,Manual,2,41595,Mori,6256,320000,373000,53000,8
